page_type,indicators,recommended_style,layout_pattern,key_components
dashboard,"analytics charts graphs metrics KPI stats overview monitor","dashboard-dense or glassmorphism","Sidebar(240px) + Main grid(cards). Top: summary cards row. Middle: charts 2-col. Bottom: table.","stat-cards summary-row chart-panel data-table date-filter sidebar-nav"
landing,"hero CTA features pricing testimonials convert marketing homepage","bento-grid or split-screen","Full-width sections stacked. Hero(100vh) > Features > Social-proof > Pricing > CTA","hero-section feature-grid testimonial-carousel pricing-table cta-banner"
checkout,"cart payment order summary shipping billing purchase buy","minimalism","Two-column: order-summary(sticky right) + form-steps(left). Mobile: stacked with summary collapsible.","order-summary step-indicator form-fields payment-input trust-badges"
form,"input fields submit register create edit settings profile","flat-design or minimalism","Single-column centered(max-600px). Group related fields with section headers.","form-group input-label validation-message submit-button progress-indicator"
settings,"preferences config account profile manage options","flat-design","Sidebar-tabs(left) + content-panel(right). Mobile: stacked tabs at top.","settings-nav section-group toggle-switch save-button danger-zone"
list-table,"records rows data entries browse search filter sort","dashboard-dense","Top: search+filters bar. Main: data table with sortable columns. Bottom: pagination.","search-bar filter-chips data-table column-sorter pagination bulk-actions"
detail,"view single item record profile product info show","card-based or editorial","Hero/header image + content body(max-800px). Sidebar for metadata. Related items grid at bottom.","hero-image content-body metadata-sidebar action-buttons related-grid"
auth,"login signup register forgot-password reset verify OTP","minimalism or split-screen","Centered card(max-400px) on subtle background. Or split: brand-panel(left) + form(right).","auth-card form-fields social-login forgot-link error-message brand-panel"
onboarding,"welcome setup wizard steps get-started tour intro","claymorphism or card-based","Step wizard: progress-bar top + content center + nav buttons bottom. Max 5 steps.","step-indicator content-panel illustration skip-button next-button progress-bar"
error,"404 500 error not-found forbidden maintenance","minimalism","Centered content: illustration + heading + description + CTA button. Max-width 500px.","error-illustration error-code error-message home-button support-link"
