style_name,description,mood_keywords,when_to_use,when_to_avoid,key_css_properties
minimalism,"Clean layouts with ample whitespace, limited color palette, focused content",clean simple elegant focused,"Enterprise SaaS, internal tools, documentation sites, portfolios","Gaming, children's apps, entertainment platforms","max-width: 800px; gap: 2rem; color limited to 2-3"
glassmorphism,"Frosted glass effect with blur and transparency on layered surfaces",modern premium layered depth,"Fintech dashboards, premium SaaS, data overlays, modal dialogs","Text-heavy content, accessibility-critical apps, low-end devices","backdrop-filter: blur(16px); background: rgba(255,255,255,0.7); border: 1px solid rgba(255,255,255,0.3)"
neumorphism,"Soft extruded shapes with subtle inner/outer shadows creating 3D-like depth",soft tactile gentle premium,"Settings panels, calculator apps, audio controls, smart home UI","Dense data tables, text-heavy pages, high-contrast requirements","box-shadow: 8px 8px 16px #d1d5db, -8px -8px 16px #ffffff; border-radius: 12px"
brutalism,"Raw, bold typography with high contrast, exposed grid, anti-design aesthetic",bold raw honest provocative,"Creative agencies, art portfolios, experimental projects, developer blogs","Healthcare, finance, government, accessibility-critical","font-weight: 900; border: 3px solid black; text-transform: uppercase"
flat-design,"Solid colors without shadows or gradients, clean iconography, 2D aesthetic",simple direct functional clear,"Mobile apps, icon systems, internal tools, quick-loading pages","Premium/luxury brands, immersive experiences","box-shadow: none; border-radius: 4-8px; solid background colors"
material-design,"Google's design system with elevation, motion, and responsive patterns",systematic structured accessible reliable,"Android apps, Flutter projects, data-heavy dashboards, forms","iOS-native apps, luxury brands, highly custom experiences","elevation levels; ripple effects; 8dp grid; transition: 225ms cubic-bezier(0.4,0,0.2,1)"
dark-mode,"Dark backgrounds with carefully chosen text and accent colors",premium focused immersive modern,"Developer tools, media players, night-mode apps, data dashboards","Print-focused, government portals, elderly-targeted apps","background: #0F172A; color: #E2E8F0; --accent high-saturation on dark"
bento-grid,"Asymmetric grid layout inspired by Japanese bento boxes, varied card sizes",organized creative modern playful,"Portfolio sites, feature showcases, landing pages, agency sites","Data tables, long-form content, forms","display: grid; grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); gap: 1rem"
aurora-ui,"Soft gradient backgrounds with flowing, organic color transitions",dreamy soft futuristic calm,"Wellness apps, music platforms, meditation apps, creative portfolios","Enterprise tools, government, healthcare, data-heavy dashboards","background: linear-gradient(135deg, soft-colors); animation: aurora 8s ease infinite"
retro-pixel,"8-bit inspired aesthetics with pixel art, limited palette, nostalgic feel",nostalgic fun playful retro,"Gaming platforms, indie games, retro-themed events, novelty apps","Enterprise, healthcare, finance, professional services","font-family: monospace; image-rendering: pixelated; border: 2px solid"
editorial,"Magazine-inspired layout with strong typography hierarchy and whitespace",sophisticated curated intellectual,"News sites, blogs, content platforms, cultural sites","Dashboards, admin panels, forms, e-commerce product grids","font-size clamp(); column-count; large heading sizes; generous line-height: 1.6+"
swiss-design,"Grid-based, asymmetric layouts with bold sans-serif type and geometric forms",precise rational ordered bold,"Architecture firms, design studios, galleries, modernist brands","Playful children's apps, casual dining, entertainment","display: grid; strict column system; font-weight: 700; alignment: left"
claymorphism,"3D clay-like elements with soft shadows and pastel colors",cute friendly approachable soft,"Children's apps, onboarding flows, casual games, habit trackers","Enterprise, finance, healthcare, developer tools","border-radius: 16px; box-shadow: inset with pastels; background: pastel-tones"
dashboard-dense,"High information density with compact spacing, data tables, charts",analytical efficient data-driven,"Admin panels, analytics platforms, monitoring tools, CRM","Marketing sites, portfolios, content blogs","font-size: 13px; gap: 0.5rem; compact padding; monospace for numbers"
organic-natural,"Soft curves, earth tones, nature-inspired textures and shapes",warm natural authentic sustainable,"Sustainability brands, organic food, wellness, eco-friendly products","Tech products, gaming, finance, government","border-radius: 24px+; earth-tone palette; organic SVG shapes"
corporate-clean,"Professional layout with consistent spacing, blue/gray palette, reliable feel",professional trustworthy stable clean,"B2B platforms, consulting firms, insurance, enterprise software","Creative agencies, gaming, startups, consumer apps","color: #1E40AF base; spacing: 8px grid; font-weight: 400-600 range"
gradient-mesh,"Multi-color gradient meshes as backgrounds creating depth and visual interest",vibrant dynamic energetic creative,"Launch pages, app stores, creative tools, startup marketing","Text-heavy content, admin panels, accessibility-critical","background: conic-gradient() or radial-gradient() mesh; backdrop-blur for content areas"
card-based,"Content organized in distinct cards with consistent padding and shadows",organized scannable modular clean,"E-commerce grids, social feeds, recipe sites, team directories","Long-form reading, legal content, single-focus pages","border-radius: 8-12px; box-shadow: 0 1px 3px rgba(0,0,0,0.1); padding: 1.5rem"
split-screen,"Page divided into two distinct halves, often image + content",dramatic bold focused immersive,"Landing pages, product showcases, login/signup, about pages","Mobile-first (collapses to stack), data-heavy dashboards","display: grid; grid-template-columns: 1fr 1fr; min-height: 100vh"
monochrome,"Single color hue with variations in lightness and saturation only",sophisticated minimal timeless focused,"Photography portfolios, luxury brands, minimal blogs, fashion","Data visualization (needs color coding), children's apps","--hue: single; variations via hsl(var(--hue), S%, L%); grayscale images"
