heading_font,body_font,tone,google_fonts_url,tailwind_config,use_case
"Plus Jakarta Sans","DM Sans",modern-professional,"https://fonts.google.com/share?selection.family=DM+Sans|Plus+Jakarta+Sans","fontFamily: { heading: ['Plus Jakarta Sans', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }",SaaS dashboards and admin panels
"Sora","Outfit",tech-forward,"https://fonts.google.com/share?selection.family=Outfit|Sora","fontFamily: { heading: ['Sora', 'sans-serif'], body: ['Outfit', 'sans-serif'] }",Tech products and developer tools
"Fraunces","Commissioner",editorial-elegant,"https://fonts.google.com/share?selection.family=Commissioner|Fraunces","fontFamily: { heading: ['Fraunces', 'serif'], body: ['Commissioner', 'sans-serif'] }",Content platforms and magazines
"Space Grotesk","Work Sans",geometric-clean,"https://fonts.google.com/share?selection.family=Space+Grotesk|Work+Sans","fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }",Fintech and data-heavy apps
"Playfair Display","Source Sans 3",classic-luxury,"https://fonts.google.com/share?selection.family=Playfair+Display|Source+Sans+3","fontFamily: { heading: ['Playfair Display', 'serif'], body: ['Source Sans 3', 'sans-serif'] }",Luxury ecommerce and premium brands
"Manrope","Nunito",friendly-rounded,"https://fonts.google.com/share?selection.family=Manrope|Nunito","fontFamily: { heading: ['Manrope', 'sans-serif'], body: ['Nunito', 'sans-serif'] }",Education and family-friendly apps
"General Sans","Satoshi",ultra-modern,"https://api.fontshare.com/v2/css?f[]=general-sans@1&f[]=satoshi@1","fontFamily: { heading: ['General Sans', 'sans-serif'], body: ['Satoshi', 'sans-serif'] }",Startup landing pages and modern SaaS
"Bricolage Grotesque","Geist",bold-statement,"https://fonts.google.com/share?selection.family=Bricolage+Grotesque","fontFamily: { heading: ['Bricolage Grotesque', 'sans-serif'], body: ['Geist', 'sans-serif'] }",Creative agencies and portfolio sites
"Crimson Pro","Libre Franklin",academic-trust,"https://fonts.google.com/share?selection.family=Crimson+Pro|Libre+Franklin","fontFamily: { heading: ['Crimson Pro', 'serif'], body: ['Libre Franklin', 'sans-serif'] }",Healthcare and government portals
"Clash Display","Cabinet Grotesk",bold-creative,"https://api.fontshare.com/v2/css?f[]=clash-display@1&f[]=cabinet-grotesk@1","fontFamily: { heading: ['Clash Display', 'sans-serif'], body: ['Cabinet Grotesk', 'sans-serif'] }",Gaming and entertainment platforms
